City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
371,Labuhan,ID,78.33,Clouds : overcast clouds,-6.8844,112.2051,DoubleFAG
374,Sao Miguel Do Araguaia,BR,86.63,Rain : moderate rain,-13.275,-50.1628,Hotel Executivo Palace
376,Maragogi,BR,83.68,Clouds : overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
381,Atar,MR,88.02,Clear : clear sky,20.5169,-13.0499,Oumou Elghoura
383,Tual,ID,83.23,Clouds : overcast clouds,-5.6667,132.75,Grand Vilia Hotel
384,Sechura,PE,83.34,Clouds : broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
386,Papara,BR,84.6,Clouds : scattered clouds,-3.9839,-38.7273,Bela vista Maranguape
387,Balabac,PH,80.15,Clouds : overcast clouds,7.9868,117.0645,Batalla’s Lodging House
390,El Vigia,VE,86.47,Clouds : scattered clouds,8.6219,-71.6506,Liceo Bolivariano 19 De Abril
396,Port-Gentil,GA,80.24,Clear : clear sky,-0.7193,8.7815,Fengshui Residence
397,Benguela,AO,77.25,Clouds : broken clouds,-12.5763,13.4055,Hotel Praia Morena
399,Kokopo,PG,75.81,Clouds : scattered clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
415,Urucui,BR,87.67,Clouds : broken clouds,-7.2294,-44.5561,Hotel Premium Piauí
431,Bandundu,CD,78.42,Clouds : few clouds,-3.3167,17.3667,Coja Color
433,Puerto Escondido,MX,83.23,Clear : clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
442,Acapetahua,MX,87.8,Clear : clear sky,15.2833,-92.7,Hotel Carmen
448,Iracoubo,GF,79.7,Clouds : overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
459,Pangai,TO,78.19,Rain : moderate rain,-19.8,-174.35,Ha'apai Beach Resort
460,Bireun,ID,77.47,Clouds : broken clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
462,Vanimo,PG,78.04,Clouds : broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
475,Apac,UG,79.52,Clouds : overcast clouds,1.9756,32.5386,Double Duez Apac
478,Angoche,MZ,79.7,Clouds : overcast clouds,-16.2325,39.9086,Guest House HESADA
479,Pundaguitan,PH,80.13,Clouds : scattered clouds,6.3711,126.1689,Leonardo Family Beach House 1
480,Lorengau,PG,80.24,Clouds : scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
