City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
262,Putina,PE,-15.4667,-69.4333,50.56,59,93,6.71,Clouds : overcast clouds
263,Ngunguru,NZ,-35.6167,174.5,72.16,96,96,12.39,Clouds : overcast clouds
264,Dejen,ET,10.1667,38.1333,64.8,29,69,5.23,Clouds : broken clouds
265,Inhambane,MZ,-23.865,35.3833,80.58,78,40,11.5,Clouds : scattered clouds
266,Neiafu,TO,-18.65,-173.9833,77.68,94,100,4.61,Clouds : overcast clouds
267,Sangar,RU,63.9242,127.4739,-33.79,99,100,3.33,Clouds : overcast clouds
268,Kodiak,US,57.79,-152.4072,31.51,86,0,4.61,Clear : clear sky
269,Kjollefjord,NO,70.9457,27.3465,24.62,81,29,26.22,Clouds : scattered clouds
270,Alofi,NU,-19.0595,-169.9187,75.09,94,100,3.44,Clouds : overcast clouds
271,Te Anau,NZ,-45.4167,167.7167,39.85,94,15,2.55,Clouds : few clouds
272,Bubaque,GW,11.2833,-15.8333,78.94,64,0,15.48,Clear : clear sky
273,Kokkola,FI,63.8385,23.1307,29.93,92,0,8.05,Clear : clear sky
274,Deer Lake,CA,49.1667,-57.4316,17.46,86,100,21.85,Clouds : overcast clouds
275,Prince Rupert,CA,54.3161,-130.3201,42.89,70,75,12.66,Clouds : broken clouds
276,Sterling,US,39.0062,-77.4286,33.94,50,40,4.0,Clouds : scattered clouds
277,Betare Oya,CM,5.6,14.0833,79.41,18,76,4.59,Clouds : broken clouds
278,Eirunepe,BR,-6.6603,-69.8736,84.4,65,95,4.0,Clouds : overcast clouds
279,Olafsvik,IS,64.8945,-23.7142,29.68,63,100,17.11,Clouds : overcast clouds
280,Bundaberg,AU,-24.85,152.35,68.29,74,68,5.01,Clouds : broken clouds
281,Scottsbluff,US,41.8666,-103.6672,44.29,37,0,18.99,Clear : clear sky
282,La Palma,US,33.8464,-118.0467,69.26,26,0,3.0,Clear : clear sky
283,Ouesso,CG,1.6136,16.0517,79.34,22,78,2.1,Clouds : broken clouds
284,Samarai,PG,-10.6167,150.6667,80.44,81,100,8.95,Clouds : overcast clouds
285,Kristiinankaupunki,FI,62.2743,21.376,18.37,97,32,5.64,Clouds : scattered clouds
286,Peyima,SL,8.7,-11.0333,91.81,14,45,2.95,Clouds : scattered clouds
287,Poum,NC,-20.2333,164.0167,80.49,72,89,5.32,Clouds : overcast clouds
288,Porto Velho,BR,-8.7619,-63.9039,84.25,70,75,4.61,Clouds : broken clouds
289,Dunda,TZ,-8.1167,34.25,64.45,90,99,2.35,Clouds : overcast clouds
290,Nome,US,64.5011,-165.4064,1.47,46,0,9.22,Clear : clear sky
291,Dolores,AR,-36.3132,-57.6792,68.83,57,73,13.42,Rain : light rain
292,Yulara,AU,-25.2406,130.9889,67.84,52,0,5.75,Clear : clear sky
293,Husavik,IS,66.0449,-17.3389,13.91,96,99,23.73,Snow : snow
294,Srednekolymsk,RU,67.45,153.6833,-39.82,100,47,4.12,Clouds : scattered clouds
295,Ola,RU,59.5833,151.2833,-3.1,75,74,12.33,Clouds : broken clouds
296,Sabang,ID,5.8933,95.3214,80.96,77,85,10.87,Clouds : overcast clouds
297,Carballo,ES,43.213,-8.691,55.54,78,10,9.06,Clear : clear sky
298,Coquimbo,CL,-29.9533,-71.3436,69.53,73,0,14.97,Clear : clear sky
